battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20250223T011556.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,61.0,,-4.0,#2QYRQ8PG2L,Jhoan ⚡👑,16000020.0,FRANK,11.0,618.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,619.0,#99JVJG2RY,daris🤓☝🏼,16000029.0,BEA,11.0,619.0,,,,,,,,,,,,,,,,,,
20250223T011422.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,202.0,,8.0,#2LUP89U2UU,asteroidbeltusr,16000001.0,COLT,8.0,618.0,#2LUP89U2UU,asteroidbeltusr,16000001.0,COLT,8.0,618.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,611.0,,,,,,,,,,,,,,,,,,
20250223T011036.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,142.0,,-4.0,#890R2UV08,🇨🇺 | Stranx◑,16000026.0,BIBI,11.0,609.0,#GVY892PRC,josethpro,16000010.0,EL PRIMO,11.0,612.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,615.0,,,,,,,,,,,,,,,,,,
20250224T043054.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,59.0,,-5.0,#PRJCG8PGL,BAnditO,16000029.0,BEA,10.0,748.0,#2Y09P229VR,turtle,16000011.0,MORTIS,11.0,742.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,760.0,,,,,,,,,,,,,,,,,,
20250224T042914.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,120.0,,9.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,751.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,751.0,#2Y09P229VR,turtle,16000011.0,MORTIS,11.0,729.0,,,,,,,,,,,,,,,,,,
20250224T042640.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,128.0,,8.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,743.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,743.0,#L9UYJ8CCC,C$Russ,16000010.0,EL PRIMO,11.0,755.0,,,,,,,,,,,,,,,,,,
20250224T042355.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,96.0,,-5.0,#GUR8YRYQY,leon12,16000063.0,CHESTER,11.0,748.0,#PVR82VG08,TITAN S,16000039.0,COLETTE,10.0,727.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,748.0,,,,,,,,,,,,,,,,,,
20250224T042151.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,133.0,,8.0,#2GPY8YGQU9,Gerardo,16000027.0,8-BIT,11.0,799.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,740.0,#2GPY8YGQU9,Gerardo,16000027.0,8-BIT,11.0,799.0,,,,,,,,,,,,,,,,,,
20250224T041911.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,33.0,,-5.0,#8GCGLCV22,wabbit,16000080.0,DRACO,9.0,743.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,745.0,#R2U2JUPQG,Paul,16000023.0,LEON,11.0,738.0,,,,,,,,,,,,,,,,,,
20250224T041805.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,177.0,,-5.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,750.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,750.0,#8QP92UJRV,Dinosaur07,16000070.0,CORDELIUS,11.0,736.0,,,,,,,,,,,,,,,,,,
