battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20250112T174049.000Z,15000720,wipeout5V5,Riverbank Crossing,ranked,wipeout,victory,180.0,,10.0,#2G9RQRL0Y9,Danilo7,16000088.0,BUZZ LIGHTYEAR,11.0,459.0,#92C2RUGJG,4T|Fieldballer,16000058.0,BONNIE,9.0,432.0,#2G9RQRL0Y9,Danilo7,16000088.0,BUZZ LIGHTYEAR,11.0,459.0,#28UPJ8VJ8G,ROYLEY_Godzilla,16000003.0,BROCK,8.0,492.0,#LV9QQLR08,nguyentran,16000005.0,SPIKE,9.0,487.0,#80QY0GLCC,bulis,16000039.0,COLETTE,11.0,482.0
20250112T173704.000Z,15000720,wipeout5V5,Riverbank Crossing,ranked,wipeout,victory,144.0,,9.0,#290LVGQVU2,yaree,16000019.0,PENNY,11.0,476.0,#LV9QQLR08,nguyentran,16000005.0,SPIKE,9.0,478.0,#2GPRQYG0CC,gore,16000009.0,DYNAMIKE,9.0,557.0,#PGGUYJ0P,GG|Trunks:v,16000065.0,MANDY,7.0,144.0,#290LVGQVU2,yaree,16000019.0,PENNY,11.0,476.0,#LQL8089JC,Donisuw,16000022.0,TICK,6.0,487.0
20250112T173358.000Z,15000720,wipeout5V5,Riverbank Crossing,ranked,wipeout,victory,96.0,,8.0,#LV9QQLR08,nguyentran,16000005.0,SPIKE,9.0,470.0,#QC0JVCJQ8,big billly re,16000045.0,STU,11.0,507.0,#PVYYLULLV,BS|Cheese🧀💫,16000039.0,COLETTE,11.0,454.0,#9QRYR02JR,Dario24,16000065.0,MANDY,7.0,429.0,#LV9QQLR08,nguyentran,16000005.0,SPIKE,9.0,470.0,#ULQ2RJ9R,jjas1215,16000079.0,ANGELO,11.0,474.0
20250112T173146.000Z,15000295,bounty,No Excuses,ranked,bounty,defeat,99.0,,-3.0,#G8GL80GRJ,MICHEAL JORDAN,16000027.0,8-BIT,10.0,436.0,#82VJJ8C2Q,ZouZou,16000021.0,GENE,11.0,431.0,#G8GL80GRJ,MICHEAL JORDAN,16000027.0,8-BIT,10.0,436.0,#LV9QQLR08,nguyentran,16000005.0,SPIKE,9.0,473.0,,,,,,,,,,,,
20250111T235555.000Z,15000025,brawlBall,Triple Dribble,soloRanked,brawlBall,defeat,85.0,,,#Q0PJV2CQY,añenul,16000020.0,FRANK,11.0,5.0,#2L0JQQCQVV,skittles,16000085.0,KENJI,11.0,5.0,#LV9QQLR08,nguyentran,16000043.0,EDGAR,11.0,5.0,#2QY9YQCYYJ,Fernando Tatis,16000020.0,FRANK,11.0,5.0,,,,,,,,,,,,
20250111T235304.000Z,15000300,hotZone,Ring of Fire,soloRanked,hotZone,victory,108.0,,,#LV9QQLR08,nguyentran,16000001.0,COLT,10.0,5.0,#G0QJQC8CG,CarlosMuZzo06,16000012.0,CROW,11.0,5.0,#LV9QQLR08,nguyentran,16000001.0,COLT,10.0,5.0,#LG08JVVL8,Mar Bang:),16000030.0,EMZ,11.0,5.0,,,,,,,,,,,,
20250111T194042.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,2.0,9.0,,,,,,,#8JYJY298,FruityPebbles,16000024.0,ROSA,10.0,639.0,#LV9QQLR08,nguyentran,16000052.0,MEG,9.0,322.0,,,,,,,,,,,,,,,,,,
20250111T193855.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,4.0,-1.0,,,,,,,#8JYJY298,FruityPebbles,16000013.0,POCO,9.0,446.0,#LV9QQLR08,nguyentran,16000088.0,BUZZ LIGHTYEAR,11.0,339.0,,,,,,,,,,,,,,,,,,
20250111T193554.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,1.0,9.0,,,,,,,#8JYJY298,FruityPebbles,16000024.0,ROSA,10.0,630.0,#LV9QQLR08,nguyentran,16000002.0,BULL,9.0,500.0,,,,,,,,,,,,,,,,,,
20250111T193436.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,4.0,-1.0,,,,,,,#8JYJY298,FruityPebbles,16000024.0,ROSA,10.0,633.0,#LV9QQLR08,nguyentran,16000054.0,FANG,10.0,473.0,,,,,,,,,,,,,,,,,,
