battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241116T220946.000Z,15000849,trioShowdown,Dark Passage,ranked,duoShowdown,,,1.0,,,,,,,,#2PU8V0V9RV,3sme🥵,16000052.0,MEG,11.0,840.0,#20JVRLJPYV,Monke,16000076.0,KIT,9.0,226.0,#8JYJY298,FruityPebbles,16000035.0,GALE,6.0,228.0,,,,,,,,,,,,
20241125T165517.000Z,15000025,brawlBall,Triple Dribble,ranked,brawlBall,victory,127.0,,9.0,#2G8L20PUC8,Wiipfp,16000001.0,COLT,7.0,138.0,#2G8L20PUC8,Wiipfp,16000001.0,COLT,7.0,138.0,#2QV09G2VV0,schubb he nm,16000025.0,CARL,5.0,148.0,#8JYJY298,FruityPebbles,16000020.0,FRANK,6.0,158.0,,,,,,,,,,,,
20241125T165246.000Z,15000025,brawlBall,Triple Dribble,ranked,brawlBall,victory,27.0,,8.0,#2QCL0C9YLU,Stellar,16000077.0,LARRY & LAWRIE,8.0,160.0,#2QCL0C9YLU,Stellar,16000077.0,LARRY & LAWRIE,8.0,160.0,#QJPVPGVUG,sweaty mango,16000020.0,FRANK,9.0,152.0,#8JYJY298,FruityPebbles,16000020.0,FRANK,6.0,150.0,,,,,,,,,,,,
20241125T165139.000Z,15000025,brawlBall,Triple Dribble,ranked,brawlBall,defeat,101.0,,-1.0,#2G820090CY,luffy god,16000020.0,FRANK,5.0,153.0,#2QJUC8CQ0G,lucas,16000043.0,EDGAR,7.0,140.0,#2Y2CRRGL2L,DogDab_96,16000018.0,DARRYL,1.0,163.0,#8JYJY298,FruityPebbles,16000020.0,FRANK,6.0,151.0,,,,,,,,,,,,
20241125T164919.000Z,15000025,brawlBall,Triple Dribble,ranked,brawlBall,victory,150.0,,8.0,#2PU898CLYC,✋🙂‍↕️,16000039.0,COLETTE,9.0,139.0,#8JYJY298,FruityPebbles,16000020.0,FRANK,6.0,143.0,#2PU898CLYC,✋🙂‍↕️,16000039.0,COLETTE,9.0,139.0,#2QC8P292RC,TT:Skinyx,16000022.0,TICK,2.0,149.0,,,,,,,,,,,,
20241205T025412.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,5.0,-1.0,,,,,,,#2QLP8UPPC0,alex,16000049.0,BUZZ,9.0,263.0,#8JYJY298,FruityPebbles,16000038.0,SURGE,7.0,266.0,,,,,,,,,,,,,,,,,,
20241205T025154.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,1.0,9.0,,,,,,,#8JYJY298,FruityPebbles,16000038.0,SURGE,7.0,257.0,#VPRYG828,SAITAMA,16000081.0,LILY,8.0,251.0,,,,,,,,,,,,,,,,,,
20241205T024924.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,4.0,-1.0,,,,,,,#8JYJY298,FruityPebbles,16000038.0,SURGE,7.0,258.0,#9QY98VJRR,inosuke,16000050.0,GRIFF,9.0,272.0,,,,,,,,,,,,,,,,,,
20241205T024720.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,1.0,10.0,,,,,,,#890LYP2LU,Denpretes,16000085.0,KENJI,9.0,251.0,#8JYJY298,FruityPebbles,16000038.0,SURGE,7.0,248.0,,,,,,,,,,,,,,,,,,
20241205T024640.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,4.0,-1.0,,,,,,,#2JYJRVU8,BENJAHAWN,16000046.0,BELLE,7.0,367.0,#8JYJY298,FruityPebbles,16000001.0,COLT,9.0,383.0,,,,,,,,,,,,,,,,,,
20241205T024411.000Z,15000044,duoShowdown,Cavern Churn,ranked,duoShowdown,,,3.0,4.0,,,,,,,#8JYJY298,FruityPebbles,16000001.0,COLT,9.0,379.0,#2GQ829900,leonisushi,16000038.0,SURGE,7.0,364.0,,,,,,,,,,,,,,,,,,
20241206T061427.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,victory,85.0,,8.0,#2LQ9P8YY,Toinou,16000086.0,SHADE,6.0,21.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,6.0,136.0,#280VPYG0PY,мишка,16000086.0,SHADE,7.0,141.0,#2LQ9P8YY,Toinou,16000086.0,SHADE,6.0,21.0,,,,,,,,,,,,
20241206T061232.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,defeat,111.0,,-1.0,#2L88Q92QP0,J D|Hero,16000073.0,CHUCK,9.0,199.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,6.0,137.0,#890RY2L9,⚜️Queen Maya⚜️,16000085.0,KENJI,7.0,102.0,#2G98QVPYG9,joty,16000018.0,DARRYL,7.0,127.0,,,,,,,,,,,,
20241206T061006.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,victory,85.0,,13.0,#29CJRG9GV,KiR0,16000086.0,SHADE,11.0,115.0,#29CJRG9GV,KiR0,16000086.0,SHADE,11.0,115.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,6.0,124.0,#2R2RRGPR,Pingu,16000069.0,HANK,8.0,107.0,,,,,,,,,,,,
20241206T060745.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,victory,85.0,,13.0,#PV0J9CCY0,RandomWard,16000043.0,EDGAR,9.0,100.0,#PV0J9CCY0,RandomWard,16000043.0,EDGAR,9.0,100.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,5.0,111.0,#2QRQQP2PUG,joshua,16000000.0,SHELLY,3.0,125.0,,,,,,,,,,,,
20241206T060549.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,victory,67.0,,13.0,#LYCJGR8JQ,nick er,16000086.0,SHADE,10.0,63.0,#2QRQQP2PUG,joshua,16000000.0,SHELLY,3.0,117.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,5.0,98.0,#LYCJGR8JQ,nick er,16000086.0,SHADE,10.0,63.0,,,,,,,,,,,,
20241206T060414.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,victory,67.0,,13.0,#2QJP0QY2YL,leo messi,16000020.0,FRANK,5.0,136.0,#2LLUGYVJVY,Seal4_Zalp,16000005.0,SPIKE,11.0,136.0,#2QJP0QY2YL,leo messi,16000020.0,FRANK,5.0,136.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,5.0,85.0,,,,,,,,,,,,
